DATE,PopEst
19/3/2020,210
20/3/2020,215
21/3/2020,268
22/3/2020,307
23/3/2020,353
24/3/2020,424
25/3/2020,463
26/3/2020,515
27/3/2020,598
28/3/2020,627
29/3/2020,675
30/3/2020,698
31/3/2020,747
1/4/2020,808
2/4/2020,897
3/4/2020,971
4/4/2020,1028
5/4/2020,1124
6/4/2020,1232
7/4/2020,1369
8/4/2020,1470
9/4/2020,1706
10/4/2020,1753
11/4/2020,1948
12/4/2020,2044
13/4/2020,2186
14/4/2020,2335
15/4/2020,2474
16/4/2020,2670
17/4/2020,2815
18/4/2020,2924
19/4/2020,3032
20/4/2020,3039
21/4/2020,3260
22/4/2020,3383
23/4/2020,3517
24/4/2020,3599
25/4/2020,3684
26/4/2020,3798
27/4/2020,3869
28/4/2020,4002
29/4/2020,4092
30/4/2020,4175
1/5/2020,4317
2/5/2020,4397
3/5/2020,4463
4/5/2020,4539
5/5/2020,4687
6/5/2020,4770
7/5/2020,4855
8/5/2020,4955
9/5/2020,5056
10/5/2020,5190
11/5/2020,5276
12/5/2020,5375
13/5/2020,5554
14/5/2020,5668
15/5/2020,5773
16/5/2020,5936
17/5/2020,6006
18/5/2020,6112
19/5/2020,6498
20/5/2020,6607
21/5/2020,6707
22/5/2020,6832
23/5/2020,6940
24/5/2020,7053
25/5/2020,7210
26/5/2020,7469
27/5/2020,7539
28/5/2020,7656
29/5/2020,7824
30/5/2020,7914
31/5/2020,8153
1/6/2020,8319
2/6/2020,8450
3/6/2020,8542
4/6/2020,8663
5/6/2020,8781
6/6/2020,8922
7/6/2020,9019
8/6/2020,9141
9/6/2020,9312
10/6/2020,9445
11/6/2020,9634
12/6/2020,9898
13/6/2020,10058
14/6/2020,10210
15/6/2020,10391
16/6/2020,10588
17/6/2020,10780
18/6/2020,10912
19/6/2020,11034
20/6/2020,11216
21/6/2020,11431
22/6/2020,11631
23/06/2020,11771
